商铺名称,营业时间,地址,月销售量,人均,活动信息
阿九手抓饭,10:00-19:30,兴宁街与清真街交叉口东南150米（清真街中段）,2000,['24'],[]
必来客,09:30-22:30,保山市昌宁县田园镇文昌社区居民委员会兴宁街北段西侧、环城北路北侧,1000,['28'],['折扣商品7折起']
凉拌伴小屋,10:00-20:00,田园镇文昌社区居民委员会隆祥花园1栋三单元201（文昌街）,1000,['17'],['满20减4;满40减8']
昌宁风味饭店,09:00-21:00,田园镇丽兰酒店下50米,800,[],['满20减3;满30减4;满50减8']
河东食府,10:00-20:30,066乡道东200米,2000,['17'],['满20减6;满40减12']
老字号胖子麻辣（昌宁店）,10:00-21:00,兴宁街116号,300,['46'],[]
清真正宗兰州拉面,07:30-22:20,田园镇文昌社区居民委员会右甸北路（城北加油站斜对面）,600,['17'],['满20减6;满40减8']
魔力玛卡水晶冒菜（干锅鸡干锅虾）,09:30-23:59,达丙街66号,500,['25'],"['满20减10;满50减25;满70减35', '折扣商品8.67折起']"
吾饮良品（文昌街店）,09:40-22:30,田园镇兴宁街中段,2000,['13'],[]
金星青真牛肉饭店,07:00-20:00,田园镇文昌社区居民委员会福慧路（隆祥花园18-15）,68,[],['满20减10;满40减20']
蟹逅,09:00-23:59,隆祥花园5-015-02,200,['58'],[]
老双嫂二中鸡脚温凉米线（湿地公园店）,09:20-20:30,田园镇滨河路以西、文昌路以南（湿地公园红绿灯路口）,700,['15'],['满20减10;满40减20']
入里今碗饭店,10:00-23:59,田园镇环城北路南侧（228省道思源学校对面）,300,[],['满30减4;满60减8']
桃子小姐（昌宁店）,11:00-21:30,保山市昌宁县田园镇文昌社区居民委员会云舒居商铺33号,200,[],['折扣商品8折起']
兵锅锅胖子极品冒菜,10:00-23:59,富德广场,300,['31'],['折扣商品9.2折起']
三顾冒菜,09:30-20:40,滨河盛景7-9号,100,['33'],['折扣商品9折起']
